"Precinct_Name","Split_Name","precinct_splitId","Reg_voters","Ballots","Reporting","Contest_id","Contest_title","Contest_party","Choice_id","Candidate_name","Choice_party","Candidate_Type","Absentee_votes","Early_votes","Election_Votes"
"01-01","","1","2839","1712","1","56","""At Large"" Trustee","","128","MAKEKAU, Kealii J.","","C","17","9","30"
"01-01","","1","2839","1712","1","56","""At Large"" Trustee","","129","RITTE, Walter","","C","73","15","84"
"01-01","","1","2839","1712","1","57","OHA Vacancy: Maui","","130","AMORIN, Johanna Kuulei Shin","","C","11","3","17"
"01-01","","1","2839","1712","1","57","OHA Vacancy: Maui","","131","AU, Glenn G.","","C","28","2","35"
"01-01","","1","2839","1712","1","57","OHA Vacancy: Maui","","132","DUEY, Rose","","C","17","2","21"
"01-01","","1","2839","1712","1","57","OHA Vacancy: Maui","","133","GOMES, Doreen Pua","","C","35","25","78"
"01-01","","1","2839","1712","1","57","OHA Vacancy: Maui","","134","KANE, Dain Pomaika'i","","C","34","9","34"
"01-01","","1","2839","1712","1","57","OHA Vacancy: Maui","","135","KAPU, Ke'eaumoku","","C","32","10","70"
"01-01","","1","2839","1712","1","57","OHA Vacancy: Maui","","136","LINDSEY, Carmen Hulu","","C","138","47","265"
"01-01","","1","2839","1712","1","58","Mayor, County of Hawaii","","137","KENOI, Billy","","C","295","76","353"
"01-01","","1","2839","1712","1","58","Mayor, County of Hawaii","","138","KIM, Harry","","C","341","86","534"
"01-01","","1","2839","1712","1","59","Prosecuting Attorney, County of Hawaii","","139","ASHIDA, Lincoln","","C","354","84","370"
"01-01","","1","2839","1712","1","59","Prosecuting Attorney, County of Hawaii","","140","ROTH, Mitch","","C","225","65","389"
"01-01","","1","2839","1712","1","60","Councilmember, Dist 1","","141","POINDEXTER, Valerie","","C","367","92","400"
"01-01","","1","2839","1712","1","60","Councilmember, Dist 1","","142","YAGONG, Chelsea","","C","250","67","463"
"01-01","","1","2839","1712","1","80","CON AMEND: Relating to Dams and Reservoirs   ","","198","YES","","C","295","98","519"
"01-01","","1","2839","1712","1","80","CON AMEND: Relating to Dams and Reservoirs   ","","199","NO","","C","276","53","280"
"01-01","","1","2839","1712","1","81","CON AMEND: Relating to Retired Judges   ","","200","YES","","C","304","98","461"
"01-01","","1","2839","1712","1","81","CON AMEND: Relating to Retired Judges   ","","201","NO","","C","271","56","326"
"01-01","","1","2839","1712","1","82","1. HAWAI'I: Records and Meetings Open to the Public   ","","202","YES","","C","421","109","579"
"01-01","","1","2839","1712","1","82","1. HAWAI'I: Records and Meetings Open to the Public   ","","203","NO","","C","148","44","194"
"01-01","","1","2839","1712","1","83","2. HAWAI'I: Public Access, Open Space, and Natural Resources Preservation Fund   ","","204","YES","","C","348","101","522"
"01-01","","1","2839","1712","1","83","2. HAWAI'I: Public Access, Open Space, and Natural Resources Preservation Fund   ","","205","NO","","C","214","51","272"
"01-01","","1","2839","1712","1","84","3. HAWAI'I: Public Access, Open Space, and Natural Resources Preservation Maintenance Fund   ","","206","YES","","C","350","107","558"
"01-01","","1","2839","1712","1","84","3. HAWAI'I: Public Access, Open Space, and Natural Resources Preservation Maintenance Fund   ","","207","NO","","C","212","43","241"
"01-01","","1","2839","1712","1","85","4. HAWAI'I: Establishing Special Funds   ","","208","YES","","C","159","59","288"
"01-01","","1","2839","1712","1","85","4. HAWAI'I: Establishing Special Funds   ","","209","NO","","C","410","97","506"
"01-01","","1","2839","1712","1","86","5. HAWAI'I: Eligibility for Redistricting Commissioners to be Candidates for County Council   ","","210","YES","","C","400","108","522"
"01-01","","1","2839","1712","1","86","5. HAWAI'I: Eligibility for Redistricting Commissioners to be Candidates for County Council   ","","211","NO","","C","161","42","236"
"01-01","","1","2839","1712","1","87","6. HAWAI'I: Establishing a Game Management Advisory Commission   ","","212","YES","","C","366","115","561"
"01-01","","1","2839","1712","1","87","6. HAWAI'I: Establishing a Game Management Advisory Commission   ","","213","NO","","C","212","40","248"
"01-02","","2","906","583","1","1","President and Vice President","","1","(R) ROMNEY, Mitt / RYAN, Paul","REP","C","41","11","58"
"01-02","","2","906","583","1","1","President and Vice President","","2","(G) STEIN, Jill / HONKALA, Cheri","GRE","C","1","0","5"
"01-02","","2","906","583","1","1","President and Vice President","","3","(L) JOHNSON, Gary / GRAY, James P.","LIB","C","4","0","5"
"01-02","","2","906","583","1","1","President and Vice President","","4","(D) OBAMA, Barack / BIDEN, Joe","DEM","C","171","30","255"
"01-02","","2","906","583","1","2","US Senator","","5","(D) HIRONO, Mazie","DEM","C","155","29","241"
"01-02","","2","906","583","1","2","US Senator","","6","(R) LINGLE, Linda","REP","C","61","12","78"
"01-02","","2","906","583","1","4","US Representative, Dist 2","","9","(R) CROWLEY, Kawika","REP","C","32","6","45"
"01-02","","2","906","583","1","4","US Representative, Dist 2","","10","(D) GABBARD, Tulsi","DEM","C","179","35","263"
"01-02","","2","906","583","1","7","State Senator, Dist 4","","15","(G) GREENWELL, Kelly","GRE","C","48","15","93"
"01-02","","2","906","583","1","7","State Senator, Dist 4","","16","(D) SOLOMON, Malama","DEM","C","154","24","209"
"01-02","","2","906","583","1","53","Hawaii Resident Trustee","","109","LINDSEY, Robert K.","","C","100","21","133"
"01-02","","2","906","583","1","53","Hawaii Resident Trustee","","110","MEYERS, William (Willy)","","C","11","1","50"
"01-02","","2","906","583","1","53","Hawaii Resident Trustee","","111","MIRANDA, Edwin L.P.","","C","27","8","44"
"01-02","","2","906","583","1","54","Kauai Resident Trustee","","112","AHUNA, Dan","","C","20","3","43"
"01-02","","2","906","583","1","54","Kauai Resident Trustee","","113","ALALEM WORTHINGTON, Keola","","C","0","1","4"
"01-02","","2","906","583","1","54","Kauai Resident Trustee","","114","ALBAO, Liberta Hussey","","C","3","3","3"
"01-02","","2","906","583","1","54","Kauai Resident Trustee","","115","BURKE, Jackie Kahookele","","C","5","3","23"
"01-02","","2","906","583","1","54","Kauai Resident Trustee","","116","KAGAWA FU, Kanani","","C","11","3","8"
"01-02","","2","906","583","1","54","Kauai Resident Trustee","","117","PACHECO, Haunani","","C","17","0","26"
"01-02","","2","906","583","1","54","Kauai Resident Trustee","","118","POMROY, Sharon A.","","C","6","3","3"
"01-02","","2","906","583","1","54","Kauai Resident Trustee","","119","SAHUT, Ronson K.","","C","0","0","2"
"01-02","","2","906","583","1","54","Kauai Resident Trustee","","120","SANTOS, D. Kaliko","","C","6","1","8"
"01-02","","2","906","583","1","54","Kauai Resident Trustee","","121","SWAIN, Billy Kealamaikahiki","","C","3","2","15"
"01-02","","2","906","583","1","54","Kauai Resident Trustee","","122","YADAO, Leland K. (Radar)","","C","12","2","39"
"01-02","","2","906","583","1","55","Molokai Resident Trustee","","123","MACHADO, Colette (Piipii)","","C","78","21","150"
"01-02","","2","906","583","1","56","""At Large"" Trustee","","124","AKINA, Keli'i","","C","14","3","31"
"01-02","","2","906","583","1","56","""At Large"" Trustee","","125","APOLIONA, Haunani","","C","55","8","83"
"01-02","","2","906","583","1","56","""At Large"" Trustee","","126","LEE, Cal","","C","24","7","30"
"01-02","","2","906","583","1","56","""At Large"" Trustee","","127","LINCOLN, Lancelot Haili","","C","6","3","16"
"01-02","","2","906","583","1","56","""At Large"" Trustee","","128","MAKEKAU, Kealii J.","","C","8","2","16"
"01-02","","2","906","583","1","56","""At Large"" Trustee","","129","RITTE, Walter","","C","11","7","23"
"01-02","","2","906","583","1","57","OHA Vacancy: Maui","","130","AMORIN, Johanna Kuulei Shin","","C","3","0","5"
"01-02","","2","906","583","1","57","OHA Vacancy: Maui","","131","AU, Glenn G.","","C","8","2","14"
"01-02","","2","906","583","1","57","OHA Vacancy: Maui","","132","DUEY, Rose","","C","5","5","11"
"01-02","","2","906","583","1","57","OHA Vacancy: Maui","","133","GOMES, Doreen Pua","","C","17","3","43"
"01-02","","2","906","583","1","57","OHA Vacancy: Maui","","134","KANE, Dain Pomaika'i","","C","2","1","19"
"01-02","","2","906","583","1","57","OHA Vacancy: Maui","","135","KAPU, Ke'eaumoku","","C","8","3","18"
"01-02","","2","906","583","1","57","OHA Vacancy: Maui","","136","LINDSEY, Carmen Hulu","","C","46","9","63"
"01-02","","2","906","583","1","58","Mayor, County of Hawaii","","137","KENOI, Billy","","C","97","16","131"
"01-02","","2","906","583","1","58","Mayor, County of Hawaii","","138","KIM, Harry","","C","117","25","187"
"01-02","","2","906","583","1","59","Prosecuting Attorney, County of Hawaii","","139","ASHIDA, Lincoln","","C","112","12","115"
"01-02","","2","906","583","1","59","Prosecuting Attorney, County of Hawaii","","140","ROTH, Mitch","","C","79","26","144"
"01-02","","2","906","583","1","60","Councilmember, Dist 1","","141","POINDEXTER, Valerie","","C","132","24","187"
"01-02","","2","906","583","1","60","Councilmember, Dist 1","","142","YAGONG, Chelsea","","C","79","16","117"
"01-02","","2","906","583","1","80","CON AMEND: Relating to Dams and Reservoirs   ","","198","YES","","C","92","24","177"
"01-02","","2","906","583","1","80","CON AMEND: Relating to Dams and Reservoirs   ","","199","NO","","C","91","16","105"
"01-02","","2","906","583","1","81","CON AMEND: Relating to Retired Judges   ","","200","YES","","C","94","26","151"
"01-02","","2","906","583","1","81","CON AMEND: Relating to Retired Judges   ","","201","NO","","C","87","13","126"
"01-02","","2","906","583","1","82","1. HAWAI'I: Records and Meetings Open to the Public   ","","202","YES","","C","136","26","185"
"01-02","","2","906","583","1","82","1. HAWAI'I: Records and Meetings Open to the Public   ","","203","NO","","C","44","11","88"
"01-02","","2","906","583","1","83","2. HAWAI'I: Public Access, Open Space, and Natural Resources Preservation Fund   ","","204","YES","","C","106","25","170"
"01-02","","2","906","583","1","83","2. HAWAI'I: Public Access, Open Space, and Natural Resources Preservation Fund   ","","205","NO","","C","77","13","104"
"01-02","","2","906","583","1","84","3. HAWAI'I: Public Access, Open Space, and Natural Resources Preservation Maintenance Fund   ","","206","YES","","C","109","25","179"
"01-02","","2","906","583","1","84","3. HAWAI'I: Public Access, Open Space, and Natural Resources Preservation Maintenance Fund   ","","207","NO","","C","76","14","90"
"01-02","","2","906","583","1","85","4. HAWAI'I: Establishing Special Funds   ","","208","YES","","C","53","12","81"
"01-02","","2","906","583","1","85","4. HAWAI'I: Establishing Special Funds   ","","209","NO","","C","134","27","193"
"01-02","","2","906","583","1","86","5. HAWAI'I: Eligibility for Redistricting Commissioners to be Candidates for County Council   ","","210","YES","","C","132","27","180"
"01-02","","2","906","583","1","86","5. HAWAI'I: Eligibility for Redistricting Commissioners to be Candidates for County Council   ","","211","NO","","C","47","10","82"
"01-02","","2","906","583","1","87","6. HAWAI'I: Establishing a Game Management Advisory Commission   ","","212","YES","","C","102","26","177"
"01-02","","2","906","583","1","87","6. HAWAI'I: Establishing a Game Management Advisory Commission   ","","213","NO","","C","85","13","97"
"01-03","","3","982","642","1","1","President and Vice President","","1","(R) ROMNEY, Mitt / RYAN, Paul","REP","C","50","8","60"
"01-03","","3","982","642","1","1","President and Vice President","","2","(G) STEIN, Jill / HONKALA, Cheri","GRE","C","2","0","2"
"01-03","","3","982","642","1","1","President and Vice President","","3","(L) JOHNSON, Gary / GRAY, James P.","LIB","C","6","1","8"
"01-03","","3","982","642","1","1","President and Vice President","","4","(D) OBAMA, Barack / BIDEN, Joe","DEM","C","198","41","264"
"01-03","","3","982","642","1","2","US Senator","","5","(D) HIRONO, Mazie","DEM","C","174","35","245"
"01-03","","3","982","642","1","2","US Senator","","6","(R) LINGLE, Linda","REP","C","75","15","86"
"01-03","","3","982","642","1","4","US Representative, Dist 2","","9","(R) CROWLEY, Kawika","REP","C","35","10","50"
"01-03","","3","982","642","1","4","US Representative, Dist 2","","10","(D) GABBARD, Tulsi","DEM","C","212","38","264"
"01-03","","3","982","642","1","7","State Senator, Dist 4","","15","(G) GREENWELL, Kelly","GRE","C","63","11","91"
"01-03","","3","982","642","1","7","State Senator, Dist 4","","16","(D) SOLOMON, Malama","DEM","C","174","33","210"
"01-03","","3","982","642","1","53","Hawaii Resident Trustee","","109","LINDSEY, Robert K.","","C","127","25","144"
"01-03","","3","982","642","1","53","Hawaii Resident Trustee","","110","MEYERS, William (Willy)","","C","27","5","41"
"01-03","","3","982","642","1","53","Hawaii Resident Trustee","","111","MIRANDA, Edwin L.P.","","C","31","5","41"
"01-03","","3","982","642","1","54","Kauai Resident Trustee","","112","AHUNA, Dan","","C","46","5","51"
"01-03","","3","982","642","1","54","Kauai Resident Trustee","","113","ALALEM WORTHINGTON, Keola","","C","3","1","4"
"01-03","","3","982","642","1","54","Kauai Resident Trustee","","114","ALBAO, Liberta Hussey","","C","2","2","3"
"01-03","","3","982","642","1","54","Kauai Resident Trustee","","115","BURKE, Jackie Kahookele","","C","9","2","16"
"01-03","","3","982","642","1","54","Kauai Resident Trustee","","116","KAGAWA FU, Kanani","","C","17","0","4"
"01-03","","3","982","642","1","54","Kauai Resident Trustee","","117","PACHECO, Haunani","","C","18","2","27"
"01-03","","3","982","642","1","54","Kauai Resident Trustee","","118","POMROY, Sharon A.","","C","12","2","12"
"01-03","","3","982","642","1","54","Kauai Resident Trustee","","119","SAHUT, Ronson K.","","C","0","0","1"
"01-03","","3","982","642","1","54","Kauai Resident Trustee","","120","SANTOS, D. Kaliko","","C","7","1","9"
"01-03","","3","982","642","1","54","Kauai Resident Trustee","","121","SWAIN, Billy Kealamaikahiki","","C","3","3","9"
"01-03","","3","982","642","1","54","Kauai Resident Trustee","","122","YADAO, Leland K. (Radar)","","C","11","5","26"
"01-03","","3","982","642","1","55","Molokai Resident Trustee","","123","MACHADO, Colette (Piipii)","","C","120","21","144"
"01-03","","3","982","642","1","56","""At Large"" Trustee","","124","AKINA, Keli'i","","C","17","5","34"
"01-03","","3","982","642","1","56","""At Large"" Trustee","","125","APOLIONA, Haunani","","C","88","5","66"
"01-03","","3","982","642","1","56","""At Large"" Trustee","","126","LEE, Cal","","C","22","15","46"
"01-03","","3","982","642","1","56","""At Large"" Trustee","","127","LINCOLN, Lancelot Haili","","C","3","2","15"
"01-03","","3","982","642","1","56","""At Large"" Trustee","","128","MAKEKAU, Kealii J.","","C","6","0","7"
"01-03","","3","982","642","1","56","""At Large"" Trustee","","129","RITTE, Walter","","C","25","4","20"
"01-03","","3","982","642","1","57","OHA Vacancy: Maui","","130","AMORIN, Johanna Kuulei Shin","","C","3","0","10"
"01-03","","3","982","642","1","57","OHA Vacancy: Maui","","131","AU, Glenn G.","","C","6","3","14"
"01-03","","3","982","642","1","57","OHA Vacancy: Maui","","132","DUEY, Rose","","C","8","2","9"
"01-03","","3","982","642","1","57","OHA Vacancy: Maui","","133","GOMES, Doreen Pua","","C","20","2","20"
"01-03","","3","982","642","1","57","OHA Vacancy: Maui","","134","KANE, Dain Pomaika'i","","C","19","3","18"
"01-03","","3","982","642","1","57","OHA Vacancy: Maui","","135","KAPU, Ke'eaumoku","","C","6","3","20"
"01-03","","3","982","642","1","57","OHA Vacancy: Maui","","136","LINDSEY, Carmen Hulu","","C","66","11","74"
"01-03","","3","982","642","1","58","Mayor, County of Hawaii","","137","KENOI, Billy","","C","131","23","139"
"01-03","","3","982","642","1","58","Mayor, County of Hawaii","","138","KIM, Harry","","C","121","25","189"
"01-03","","3","982","642","1","59","Prosecuting Attorney, County of Hawaii","","139","ASHIDA, Lincoln","","C","133","24","152"
"01-03","","3","982","642","1","59","Prosecuting Attorney, County of Hawaii","","140","ROTH, Mitch","","C","101","20","136"
"01-03","","3","982","642","1","60","Councilmember, Dist 1","","141","POINDEXTER, Valerie","","C","182","34","215"
"01-03","","3","982","642","1","60","Councilmember, Dist 1","","142","YAGONG, Chelsea","","C","60","14","92"
"01-03","","3","982","642","1","80","CON AMEND: Relating to Dams and Reservoirs   ","","198","YES","","C","103","22","182"
"01-03","","3","982","642","1","80","CON AMEND: Relating to Dams and Reservoirs   ","","199","NO","","C","133","18","119"
"01-03","","3","982","642","1","81","CON AMEND: Relating to Retired Judges   ","","200","YES","","C","121","27","175"
"01-03","","3","982","642","1","81","CON AMEND: Relating to Retired Judges   ","","201","NO","","C","111","16","127"
"01-03","","3","982","642","1","82","1. HAWAI'I: Records and Meetings Open to the Public   ","","202","YES","","C","169","27","205"
"01-03","","3","982","642","1","82","1. HAWAI'I: Records and Meetings Open to the Public   ","","203","NO","","C","58","16","82"
"01-03","","3","982","642","1","83","2. HAWAI'I: Public Access, Open Space, and Natural Resources Preservation Fund   ","","204","YES","","C","147","28","197"
"01-03","","3","982","642","1","83","2. HAWAI'I: Public Access, Open Space, and Natural Resources Preservation Fund   ","","205","NO","","C","85","14","98"
"01-03","","3","982","642","1","84","3. HAWAI'I: Public Access, Open Space, and Natural Resources Preservation Maintenance Fund   ","","206","YES","","C","142","25","199"
"01-03","","3","982","642","1","84","3. HAWAI'I: Public Access, Open Space, and Natural Resources Preservation Maintenance Fund   ","","207","NO","","C","86","15","93"
"01-03","","3","982","642","1","85","4. HAWAI'I: Establishing Special Funds   ","","208","YES","","C","62","11","83"
"01-03","","3","982","642","1","85","4. HAWAI'I: Establishing Special Funds   ","","209","NO","","C","167","32","214"
"01-03","","3","982","642","1","86","5. HAWAI'I: Eligibility for Redistricting Commissioners to be Candidates for County Council   ","","210","YES","","C","157","31","194"
"01-03","","3","982","642","1","86","5. HAWAI'I: Eligibility for Redistricting Commissioners to be Candidates for County Council   ","","211","NO","","C","70","11","92"
"01-03","","3","982","642","1","87","6. HAWAI'I: Establishing a Game Management Advisory Commission   ","","212","YES","","C","153","27","189"
"01-03","","3","982","642","1","87","6. HAWAI'I: Establishing a Game Management Advisory Commission   ","","213","NO","","C","83","17","112"
"01-04","","4","301","196","1","1","President and Vice President","","1","(R) ROMNEY, Mitt / RYAN, Paul","REP","C","16","7","31"
"01-04","","4","301","196","1","1","President and Vice President","","2","(G) STEIN, Jill / HONKALA, Cheri","GRE","C","0","0","4"
"01-04","","4","301","196","1","1","President and Vice President","","3","(L) JOHNSON, Gary / GRAY, James P.","LIB","C","0","0","3"
"01-04","","4","301","196","1","1","President and Vice President","","4","(D) OBAMA, Barack / BIDEN, Joe","DEM","C","30","19","86"
"01-04","","4","301","196","1","2","US Senator","","5","(D) HIRONO, Mazie","DEM","C","26","14","86"
"01-04","","4","301","196","1","2","US Senator","","6","(R) LINGLE, Linda","REP","C","18","12","37"
"01-04","","4","301","196","1","4","US Representative, Dist 2","","9","(R) CROWLEY, Kawika","REP","C","12","7","27"
"01-04","","4","301","196","1","4","US Representative, Dist 2","","10","(D) GABBARD, Tulsi","DEM","C","32","19","96"
"01-04","","4","301","196","1","7","State Senator, Dist 4","","15","(G) GREENWELL, Kelly","GRE","C","20","7","46"
"01-04","","4","301","196","1","7","State Senator, Dist 4","","16","(D) SOLOMON, Malama","DEM","C","15","17","71"
"01-04","","4","301","196","1","53","Hawaii Resident Trustee","","109","LINDSEY, Robert K.","","C","7","8","38"
"01-04","","4","301","196","1","53","Hawaii Resident Trustee","","110","MEYERS, William (Willy)","","C","4","2","17"
"01-04","","4","301","196","1","53","Hawaii Resident Trustee","","111","MIRANDA, Edwin L.P.","","C","4","4","21"
"01-04","","4","301","196","1","54","Kauai Resident Trustee","","112","AHUNA, Dan","","C","2","2","10"
"01-04","","4","301","196","1","54","Kauai Resident Trustee","","113","ALALEM WORTHINGTON, Keola","","C","0","1","0"
"01-04","","4","301","196","1","54","Kauai Resident Trustee","","114","ALBAO, Liberta Hussey","","C","1","0","1"
"01-04","","4","301","196","1","54","Kauai Resident Trustee","","115","BURKE, Jackie Kahookele","","C","0","2","7"
"01-04","","4","301","196","1","54","Kauai Resident Trustee","","116","KAGAWA FU, Kanani","","C","1","0","5"
"01-04","","4","301","196","1","54","Kauai Resident Trustee","","117","PACHECO, Haunani","","C","0","1","10"
"01-04","","4","301","196","1","54","Kauai Resident Trustee","","118","POMROY, Sharon A.","","C","3","0","5"
"01-04","","4","301","196","1","54","Kauai Resident Trustee","","119","SAHUT, Ronson K.","","C","0","0","0"
"01-04","","4","301","196","1","54","Kauai Resident Trustee","","120","SANTOS, D. Kaliko","","C","0","1","2"
"01-04","","4","301","196","1","54","Kauai Resident Trustee","","121","SWAIN, Billy Kealamaikahiki","","C","0","1","7"
"01-04","","4","301","196","1","54","Kauai Resident Trustee","","122","YADAO, Leland K. (Radar)","","C","1","1","8"
"01-04","","4","301","196","1","55","Molokai Resident Trustee","","123","MACHADO, Colette (Piipii)","","C","9","8","51"
"01-04","","4","301","196","1","56","""At Large"" Trustee","","124","AKINA, Keli'i","","C","0","2","13"
"01-04","","4","301","196","1","56","""At Large"" Trustee","","125","APOLIONA, Haunani","","C","3","4","25"
"01-04","","4","301","196","1","56","""At Large"" Trustee","","126","LEE, Cal","","C","2","4","12"
"01-04","","4","301","196","1","56","""At Large"" Trustee","","127","LINCOLN, Lancelot Haili","","C","2","1","4"
"01-04","","4","301","196","1","56","""At Large"" Trustee","","128","MAKEKAU, Kealii J.","","C","0","1","5"
"01-04","","4","301","196","1","56","""At Large"" Trustee","","129","RITTE, Walter","","C","5","1","11"
"01-04","","4","301","196","1","57","OHA Vacancy: Maui","","130","AMORIN, Johanna Kuulei Shin","","C","1","1","2"
"01-04","","4","301","196","1","57","OHA Vacancy: Maui","","131","AU, Glenn G.","","C","0","2","4"
"01-04","","4","301","196","1","57","OHA Vacancy: Maui","","132","DUEY, Rose","","C","2","2","9"
"01-04","","4","301","196","1","57","OHA Vacancy: Maui","","133","GOMES, Doreen Pua","","C","2","0","5"
"01-04","","4","301","196","1","57","OHA Vacancy: Maui","","134","KANE, Dain Pomaika'i","","C","1","3","8"
"01-04","","4","301","196","1","57","OHA Vacancy: Maui","","135","KAPU, Ke'eaumoku","","C","0","0","9"
"01-04","","4","301","196","1","57","OHA Vacancy: Maui","","136","LINDSEY, Carmen Hulu","","C","1","2","18"
"01-04","","4","301","196","1","58","Mayor, County of Hawaii","","137","KENOI, Billy","","C","20","13","43"
"01-04","","4","301","196","1","58","Mayor, County of Hawaii","","138","KIM, Harry","","C","22","13","77"
"01-04","","4","301","196","1","59","Prosecuting Attorney, County of Hawaii","","139","ASHIDA, Lincoln","","C","6","10","48"
"01-04","","4","301","196","1","59","Prosecuting Attorney, County of Hawaii","","140","ROTH, Mitch","","C","30","12","62"
"01-04","","4","301","196","1","60","Councilmember, Dist 1","","141","POINDEXTER, Valerie","","C","21","11","55"
"01-04","","4","301","196","1","60","Councilmember, Dist 1","","142","YAGONG, Chelsea","","C","21","12","54"
"01-04","","4","301","196","1","80","CON AMEND: Relating to Dams and Reservoirs   ","","198","YES","","C","11","15","72"
"01-04","","4","301","196","1","80","CON AMEND: Relating to Dams and Reservoirs   ","","199","NO","","C","27","9","41"
"01-04","","4","301","196","1","81","CON AMEND: Relating to Retired Judges   ","","200","YES","","C","22","12","65"
"01-04","","4","301","196","1","81","CON AMEND: Relating to Retired Judges   ","","201","NO","","C","16","12","43"
"01-04","","4","301","196","1","82","1. HAWAI'I: Records and Meetings Open to the Public   ","","202","YES","","C","22","14","77"
"01-04","","4","301","196","1","82","1. HAWAI'I: Records and Meetings Open to the Public   ","","203","NO","","C","14","8","30"
"01-04","","4","301","196","1","83","2. HAWAI'I: Public Access, Open Space, and Natural Resources Preservation Fund   ","","204","YES","","C","20","14","81"
"01-04","","4","301","196","1","83","2. HAWAI'I: Public Access, Open Space, and Natural Resources Preservation Fund   ","","205","NO","","C","18","9","30"
"01-04","","4","301","196","1","84","3. HAWAI'I: Public Access, Open Space, and Natural Resources Preservation Maintenance Fund   ","","206","YES","","C","15","11","78"
"01-04","","4","301","196","1","84","3. HAWAI'I: Public Access, Open Space, and Natural Resources Preservation Maintenance Fund   ","","207","NO","","C","22","11","28"
"01-04","","4","301","196","1","85","4. HAWAI'I: Establishing Special Funds   ","","208","YES","","C","16","6","41"
"01-04","","4","301","196","1","85","4. HAWAI'I: Establishing Special Funds   ","","209","NO","","C","23","17","66"
"01-04","","4","301","196","1","86","5. HAWAI'I: Eligibility for Redistricting Commissioners to be Candidates for County Council   ","","210","YES","","C","34","17","77"
"01-04","","4","301","196","1","86","5. HAWAI'I: Eligibility for Redistricting Commissioners to be Candidates for County Council   ","","211","NO","","C","5","5","24"
"01-04","","4","301","196","1","87","6. HAWAI'I: Establishing a Game Management Advisory Commission   ","","212","YES","","C","14","13","66"
